PE,DEN,AC,GR,CNL,classification
0.991817432,0.034132939,0.142983872,0.121311082,0.80848148,2
0.948713326,0.282468562,0.180099253,0.456833995,0.636569148,2
0.999847444,0.000211349,0.05974727,0.027717203,0.948335072,2
0.999008384,0.001162422,0.087000719,0.049532137,0.913372678,2
0.921835669,0.569798161,0.159744439,0.208186932,0.471583385,2
0.99737187,0.003487266,0.118585868,0.076566874,0.873778507,2
0.912606009,0.549191588,0.350355448,0.087664952,0.663758995,2
0.973129278,0.162633414,0.160271577,0.134981739,0.692990441,2
0.996484269,0.009510726,0.126436317,0.093556557,0.855241345,2
0.955495149,0.332452711,0.165518692,0.175841753,0.716547205,2
0.918812279,0.578886188,0.191386212,0.212497667,0.498311059,2
0.91634364,0.518334566,0.374826253,0.113609341,0.62501482,2
0.94821405,0.294092782,0.145325659,0.512820239,0.633086774,2
0.963164574,0.092148367,0.436424574,0.017149636,0.894140247,2
0.901150414,0.578780514,0.313833265,0.103441657,0.721789856,2
0.93200147,0.381274437,0.41699596,0.222889286,0.665145514,2
0.91377792,0.575081898,0.321508451,0.214563728,0.590381976,2
0.949982317,0.287223925,0.147885852,0.36981952,0.558739192,2
0.974932216,0.22973687,0.155279269,0.281080216,0.710323943,2
0.897086867,0.611434006,0.324942264,0.188224787,0.655347444,2
0.943269838,0.395540526,0.234256971,0.27331716,0.50023611,2
0.96181237,0.312057487,0.162571571,0.242846098,0.823114283,2
0.918680526,0.52087076,0.384347097,0.07257871,0.653792131,2
0.939955204,0.400612913,0.183009972,0.299056277,0.605366433,2
0.898702578,0.604459474,0.327812538,0.191917038,0.648529385,2
0.906989162,0.195075557,0.949218123,0.052485937,0.893579611,2
0.88860612,0.639120786,0.253479314,0.070150089,0.864870622,2
0.896629198,0.621367431,0.31887276,0.198176535,0.630159008,2
0.889576933,0.629187361,0.252635354,0.077958466,0.845758758,2
0.899569375,0.587234492,0.287739251,0.089925622,0.762740405,2
0.923174004,0.477015746,0.411898493,0.085950788,0.628237975,2
0.938928916,0.25361936,0.448310124,0.014670363,0.884699859,2
0.935010991,0.383387932,0.4281481,0.049390845,0.75237567,2
0.914388145,0.576032971,0.307732753,0.217306923,0.586260597,2
0.937049699,0.365528902,0.427953962,0.051872784,0.738598892,2
0.917841466,0.380851738,0.528227508,0.098397803,0.795649142,2
0.95364367,0.147838952,0.427997104,0.023691717,0.871298847,2
0.897100736,0.606361619,0.375016347,0.069243689,0.820843607,2
0.997961292,0.000422699,0.177973174,0.036061422,0.95744792,2
0.910546498,0.269364895,0.247024231,0.048676388,0.917130347,2
0.906496821,0.57022086,0.341791811,0.084759137,0.711411055,2
0.916988537,0.365740252,0.447548403,0.084732478,0.82578484,2
0.913292513,0.508084117,0.441828077,0.036914505,0.817383336,2
0.908036253,0.584909648,0.308700746,0.208592146,0.59408539,2
0.918472495,0.566310895,0.331867862,0.236437312,0.599233596,2
0.938811031,0.410229314,0.025863475,0.112079123,0.404743102,2
0.987233806,0.050829547,0.148260646,0.115755378,0.809377694,2
0.021461906,0.966923809,0.088034772,0.450811762,0.363927186,1
0.933097102,0.399556166,0.220506889,0.094316334,0.441616481,1
0.896476642,0.56620522,0.206448073,0.122300125,0.610759793,1
0.282860293,0.826799112,0.216927472,0.476908107,0.448494823,1
0.93049671,0.393427032,0.482098199,0.223545093,0.661026145,1
0.810004923,0.68921061,0.426247167,0.348700381,0.516518671,1
0.141163173,0.949804502,0.086821411,0.264930287,0.323505121,1
0.649356143,0.852900771,0.316041583,0.435461598,0.495176319,1
0.19421118,0.864842016,0.150719726,0.481365466,0.452053556,1
0.105513526,0.904258692,0.106688184,0.488789955,0.447721185,1
0.587445999,0.762654549,0.260634103,0.474956679,0.444106187,1
0.911857096,0.516432421,0.220044463,0.164109195,0.694411121,1
0.757837583,0.743527423,0.401533689,0.380675002,0.486851174,1
0.931765701,0.525309099,0.194867211,0.112161766,0.353823679,1
0.888099911,0.594209025,0.205787465,0.149916025,0.674264391,1
0.447108017,0.893479869,0.131473115,0.199981339,0.346842855,1
0.887420341,0.715946317,0.189616052,0.169968809,0.361953907,1
0.552011317,0.846454613,0.161619757,0.228506305,0.371581175,1
0.923083857,0.503117405,0.200154771,0.120457999,0.387887849,1
0.848074669,0.574130825,0.260760832,0.400410546,0.524327387,1
0.953671407,0.322941985,0.454251551,0.220095439,0.652152421,1
0.203787558,0.88925288,0.171837609,0.445674602,0.521932125,1
0.946494324,0.459579415,0.533066124,0.139817653,0.649972169,1
0.007842784,0.977385607,0.076242246,0.429631308,0.333510165,1
0.158554598,0.902462221,0.142729066,0.421337741,0.480899188,1
0.812196187,0.69523407,0.41331543,0.360558236,0.514899055,1
0.877212934,0.61999366,0.233593667,0.241451841,0.650667438,1
0.136468598,0.933953292,0.126633151,0.444187038,0.507940335,1
0.937209189,0.379794991,0.429667498,0.240841353,0.677861304,1
0.891886082,0.559547712,0.390783306,0.385401616,0.525689793,1
0.006719414,0.982986368,0.07445456,0.461166058,0.368999033,1
0.321040989,0.884497517,0.141357967,0.28432993,0.376466144,1
0.92685616,0.51104301,0.453814741,0.301887446,0.58311782,1
0.847013709,0.667864314,0.462631835,0.308224254,0.525334121,1
0.85326852,0.677797739,0.222773178,0.20652342,0.65922367,1
0.586177007,0.811687625,0.184526674,0.2915918,0.411153243,1
0.924616355,0.461692909,0.39606008,0.342822106,0.572104033,1
0.915012239,0.539786537,0.515662475,0.191322545,0.61343035,1
0.102171154,0.944732115,0.117407559,0.457865693,0.469027367,1
